run_kind,planner_mode,task_suite,host_label,ctx_size,model,config,task_rows,planner_sec_mean,deterministic_tool_sec_mean,llm_tool_sec_mean,final_sec_mean,prompt_eval_ms_mean,decode_ms_mean,wall_sec_mean
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,f16/f16,5,3.3678331833973063,0.0026308327913284303,22.741045933397253,2.9350364919868297,23999.8146,5009.4644,29.04706988360267
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q4_0/q4_0,5,3.724615058203926,0.002955274999840185,28.119616183196193,3.32766994999256,29759.5986,5397.6234,35.17542110841023
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q8_0/q8_0,5,3.50189076680108,0.002804008807288483,26.162241241597805,2.9417424664017746,27535.0742,5051.8914,32.609260483208345
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,q8_0/tbq4,5,3.1208452748018316,0.002620341797592118,22.56572795859538,2.894411999802105,23903.9486,4663.0214,28.584146583196706
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,gemma4_e4b,tbq4/tbq4,5,3.4223288418026643,0.0024381249968428165,22.047926991805433,2.7826005165989045,23331.8992,4906.0552,28.25586005819496
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,f16/f16,5,5.567298366397154,0.002581358409952372,23.049281133397017,3.5474520579969977,24183.2784,7924.134599999999,32.16714649140486
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q4_0/q4_0,5,5.633993241586722,0.004594983416609466,27.495249249809422,3.6669229332008397,28805.0166,7954.016,36.80131224139477
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q8_0/q8_0,5,5.639840408402961,0.002589625207474455,27.086004899599356,3.8529862333845815,28143.3004,8397.4938,36.581974882999205
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,q8_0/tbq4,5,5.382160716800717,0.002684883400797844,19.492803758598164,4.003928174998146,20774.1776,8050.6251999999995,28.882182149996517
fixed_core8k,llm,core,m4_fixed_core8k_battery,8192,qwen35_4b,tbq4/tbq4,5,4.9500345417996865,0.004661775199929252,22.317479091405403,4.006806749996031,23592.2838,7639.709199999999,31.279521575005493
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,f16/f16,5,13.059050044091418,4.0045985952019694e-05,79.91598108024337,11.347365100169554,81620.3502,22600.8916,104.32290288633666
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q4_0/q4_0,5,14.78730605202727,6.49500172585249e-05,107.85312183182687,13.247941931243986,111846.698,24006.606600000003,135.8889057094697
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q8_0/q8_0,5,13.23044898477383,3.685513511300087e-05,84.797222564416,11.734317465871573,87325.9824,22377.2254,109.76248057079502
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,q8_0/tbq4,5,13.120516010420397,6.627282127737998e-05,78.95978029305115,11.637428831029684,81583.19499999999,22085.8898,103.71826546695084
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,gemma4_e4b,tbq4/tbq4,5,13.440570904966444,4.117302596569061e-05,79.56804955885745,11.805172841018067,82910.1602,21866.5828,104.81429005861283
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,f16/f16,5,21.270908349379898,3.202673979103565e-05,64.3285594291985,13.760162667697296,64941.4264,34254.7836,99.36015295381658
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q4_0/q4_0,5,22.200399864045902,3.699799999594689e-05,93.36069836537354,13.593174485350028,95660.47080000001,33359.4594,129.1548069150187
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q8_0/q8_0,5,21.272284746170044,3.662239760160446e-05,81.30675941198133,14.21480214917101,82194.27919999999,34455.281800000004,116.79434006358497
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,q8_0/tbq4,5,20.313684379449114,5.565118044614792e-05,62.407797027658674,15.418609174806624,64303.150200000004,33702.7464,98.14065448739566
fixed_core8k,llm,core,x86_axelera_fixed_core8k,8192,qwen35_4b,tbq4/tbq4,5,21.9971923280973,9.339675307273864e-06,76.50763348182663,13.16937226173468,78319.3904,33219.6972,111.67467986494303
