elapsed_sec,rss_kb,cpu_pct,thermal_max_c
1777805059.707,12444,0.0,60.0
1777805060.717,3571424,101.0,65.0
1777805061.734,4570576,281.0,69.0
1777805062.746,4699976,387.0,78.0
1777805063.757,4700292,442.0,83.0
1777805064.767,4700292,475.0,78.0
1777805065.778,4700292,497.0,81.0
1777805066.789,4700292,512.0,85.0
1777805067.8,4700292,524.0,86.0
1777805068.81,4751752,532.0,83.0
1777805069.823,4754660,540.0,73.0
1777805070.842,4754660,546.0,72.0
1777805071.856,4754660,552.0,72.0
1777805072.869,4754660,556.0,69.0
1777805073.883,4754660,560.0,69.0
1777805074.897,4754660,563.0,69.0
1777805075.91,4754660,565.0,69.0
1777805076.922,4754660,568.0,71.0
1777805077.935,4801748,569.0,69.0
1777805078.947,4801748,572.0,73.0
1777805079.963,4801748,573.0,72.0
1777805080.976,4801748,575.0,71.0
1777805081.99,4801748,576.0,69.0
1777805083.005,4801748,578.0,70.0
1777805084.017,4861016,578.0,81.0
1777805085.028,4861016,579.0,85.0
1777805086.039,4861016,580.0,81.0
1777805087.051,4861016,581.0,78.0
1777805088.064,4861016,562.0,74.0
1777805089.075,4861016,564.0,71.0
1777805090.088,4912476,565.0,74.0
1777805091.102,4912476,566.0,71.0
1777805092.115,4912476,568.0,71.0
1777805093.127,4912476,569.0,73.0
1777805094.142,4912476,570.0,73.0
1777805095.154,4912476,571.0,71.0
1777805096.167,4912476,572.0,72.0
1777805097.18,4912476,573.0,73.0
1777805098.192,4912476,574.0,72.0
1777805099.205,4912476,574.0,72.0
1777805100.217,4912476,575.0,70.0
1777805101.231,4912476,576.0,71.0
1777805102.244,4912476,577.0,72.0
1777805103.253,4958256,577.0,72.0
1777805104.265,4971284,578.0,82.0
1777805105.277,4971284,578.0,75.0
1777805106.289,4971284,579.0,75.0
1777805107.3,4971284,579.0,69.0
1777805108.312,4971284,580.0,74.0
1777805109.323,5022744,580.0,72.0
1777805110.335,5022744,581.0,71.0
1777805111.348,5022744,581.0,71.0
1777805112.361,5022744,582.0,72.0
1777805113.379,5022744,582.0,73.0
1777805114.393,5022744,583.0,72.0
1777805115.406,5022744,583.0,70.0
1777805116.418,5022744,584.0,70.0
1777805117.432,5022744,584.0,70.0
1777805118.445,5022744,585.0,69.0
1777805119.458,5022744,585.0,72.0
1777805120.471,5022744,585.0,70.0
1777805121.481,5081624,585.0,78.0
1777805122.493,5081624,586.0,84.0
1777805123.505,5081624,586.0,75.0
1777805124.517,5081624,586.0,74.0
1777805125.529,5081624,587.0,74.0
1777805126.541,5081624,587.0,74.0
1777805127.552,5133084,587.0,76.0
1777805128.567,5133084,587.0,72.0
1777805129.58,5133084,588.0,71.0
1777805130.593,5133084,588.0,73.0
1777805131.605,5133084,588.0,75.0
1777805132.617,5133084,589.0,73.0
1777805133.632,5133084,589.0,71.0
1777805134.646,5133084,589.0,70.0
1777805135.657,5137424,589.0,70.0
1777805136.669,5137424,589.0,70.0
1777805137.682,5137424,590.0,70.0
1777805138.696,5137424,590.0,71.0
1777805139.709,5137424,590.0,70.0
1777805140.722,5137424,590.0,72.0
1777805141.735,5137424,591.0,74.0
1777805142.752,5196440,591.0,75.0
1777805143.764,5196440,591.0,71.0
1777805144.778,5196440,591.0,73.0
1777805145.791,5196440,591.0,71.0
1777805146.809,5196440,591.0,72.0
1777805147.823,5196440,592.0,73.0
1777805148.837,5196440,592.0,70.0
1777805149.85,5196440,592.0,73.0
1777805150.869,5196440,592.0,72.0
1777805151.883,5196440,592.0,72.0
1777805152.898,5196440,592.0,72.0
1777805153.911,5196440,593.0,73.0
1777805154.924,5196440,593.0,73.0
1777805155.936,5251444,593.0,82.0
1777805156.947,5251776,593.0,85.0
1777805157.958,5251776,593.0,86.0
1777805158.969,5251776,593.0,87.0
1777805159.981,5251776,593.0,75.0
1777805160.993,5251776,593.0,74.0
1777805162.005,5303236,594.0,76.0
1777805163.017,5303236,594.0,71.0
1777805164.031,5303236,594.0,73.0
1777805165.049,5303236,594.0,72.0
1777805166.061,5303236,589.0,71.0
1777805167.073,5303236,589.0,73.0
1777805168.085,5303236,589.0,70.0
1777805169.098,5303236,589.0,71.0
